relative_position,mean,sd
0.0,0.10264381683025389,0.07456632031104107
0.02040816326530612,0.13678516751601255,0.09166133697065564
0.04081632653061224,0.09081276344306116,0.055492848087915284
0.061224489795918366,0.05285375095146133,0.04497272797380852
0.08163265306122448,0.0323836871554862,0.027896615251606034
0.1020408163265306,0.01719185677468118,0.0170303975924111
0.12244897959183673,0.011406003857463478,0.013128144939151577
0.14285714285714285,0.008614843427219106,0.008437287118170149
0.16326530612244897,0.006800755190139325,0.005278974975631325
0.18367346938775508,0.006025810504070951,0.004540013957433903
0.2040816326530612,0.005560338110530346,0.0039023570624134
0.22448979591836732,0.0051619317687313015,0.003951495568814272
0.24489795918367346,0.0045122213651497475,0.0029898871641614974
0.26530612244897955,0.004073049045098293,0.00219650911428572
0.2857142857142857,0.003884539111868647,0.002642835001980927
0.3061224489795918,0.003777358559412703,0.0023978874417050614
0.32653061224489793,0.003589782101915376,0.002074765331605982
0.3469387755102041,0.003501436404669743,0.002317247187967027
0.36734693877551017,0.0031792456858020434,0.0019325823748761297
0.3877551020408163,0.0031987763176491834,0.0018246203959173836
0.4081632653061224,0.003050278498634922,0.0012468324241071214
0.42857142857142855,0.0033238282228968768,0.001733998823456968
0.44897959183673464,0.0034330752431352856,0.0015368715447471905
0.4693877551020408,0.003378706026739457,0.001554679927821107
0.4897959183673469,0.003422973503469583,0.0017839146062195571
0.5102040816326531,0.0034442092854118705,0.0016744941464306089
0.5306122448979591,0.0034443685564667843,0.001422956737625102
0.5510204081632653,0.003501963997863809,0.001659025694296403
0.5714285714285714,0.0032934680910262455,0.0017335495191029653
0.5918367346938775,0.002995221284477169,0.001442158914140749
0.6122448979591836,0.003195635816926473,0.001794818608341255
0.6326530612244897,0.003156038543005481,0.001768377794165398
0.6530612244897959,0.003400452946805593,0.0023820675757385587
0.673469387755102,0.0036111293105143072,0.0029390965328797616
0.6938775510204082,0.003527912795426348,0.0018509193804920482
0.7142857142857142,0.003630312598848372,0.0020005484948410574
0.7346938775510203,0.004211311830861702,0.002944677939628928
0.7551020408163265,0.0048748463596697605,0.004879387308372616
0.7755102040816326,0.005202117875747235,0.004287611684363781
0.7959183673469387,0.005440348726217181,0.004245164015795341
0.8163265306122448,0.006032009995738524,0.00492087814025805
0.836734693877551,0.006706677456894897,0.0054678299121589
0.8571428571428571,0.008633532519527304,0.008251092774256211
0.8775510204081632,0.010834127537056632,0.01143917864658729
0.8979591836734693,0.01609131120222816,0.015952468865517985
0.9183673469387754,0.030896429151541165,0.03001995437578091
0.9387755102040816,0.05182612628574462,0.04536610581905879
0.9591836734693877,0.0807730110991527,0.04933051195932436
0.9795918367346939,0.12087329371471103,0.08666864061235885
1.0,0.08783814740258407,0.06179043496092336
